id, tile count, move count
1214, 5, 17
1215, 5, 4
1216, 4, 15
1217, 6, 28
1218, 8, 53
1219, 5, 19
1220, 3, 10
1221, 3, 6
1222, 2, 4
1223, 6, 28
1224, 8, 49
1225, 8, 57
1226, 4, 11
1227, 3, 4
1228, 4, 13
1229, 5, 17
1230, 7, 56
1231, 3, 6
1232, 4, 16
1233, 5, 13
1234, 4, 8
1235, 3, 7
1236, 3, 2
1237, 7, 49
1238, 4, 10
1239, 8, 62
1240, 8, 63
1241, 8, 86
1242, 4, 12
1243, 4, 9
1244, 9, 65
1245, 7, 61
1246, 12, 157
1247, 2, 3
1248, 2, 2
1249, 6, 47
1250, 2, 1
1251, 10, 120
1252, 8, 66
1253, 4, 18
1254, 4, 15
1255, 5, 17
1256, 7, 52
1257, 6, 40
1258, 2, 3
1259, 5, 22
1260, 4, 13
1261, 6, 2
1262, 7, 19
1263, 3, 9
1264, 2, 1
1265, 2, 3
1266, 5, 23
1267, 4, 18
1268, 6, 42
1269, 4, 15
1270, 5, 25
1271, 3, 9
1272, 4, 8
1273, 4, 13
1274, 5, 15
1275, 10, 98
1276, 4, 11
1277, 3, 3
1278, 7, 35
1279, 3, 5
1280, 4, 17
1281, 9, 48
1282, 5, 22
1283, 6, 36
1284, 11, 92
1285, 7, 65
1286, 5, 28
1287, 3, 9
1288, 3, 7
1289, 6, 31
1290, 6, 25
1291, 6, 26
1292, 9, 51
1293, 11, 156
1294, 4, 12
1295, 8, 59
1296, 10, 121
1297, 6, 45
1298, 3, 9
1299, 3, 7
1300, 2, 3
1301, 3, 7
1302, 6, 33
1303, 4, 17
1304, 4, 20
1305, 6, 46
1306, 2, 3
1307, 7, 55
1308, 7, 73
1309, 9, 64
1310, 5, 27
1311, 8, 72
1312, 6, 37
1313, 6, 46
1314, 3, 11
1315, 7, 42
1316, 9, 89
1317, 6, 26
1318, 15, 271
1319, 3, 9
1320, 9, 119
1321, 7, 63
1322, 3, 7
1323, 8, 44
1324, 9, 54
1325, 5, 26
1326, 7, 75
1327, 8, 70
1328, 4, 12
1329, 3, 6
1330, 3, 4
1331, 13, 110
1332, 6, 39
1333, 5, 22
1334, 3, 9
1335, 7, 43
1336, 3, 10
1337, 5, 27
1338, 4, 12
1339, 7, 37
1340, 10, 111
1341, 3, 7
1342, 6, 31
1343, 6, 36
1344, 4, 16
1345, 6, 36
1346, 6, 47
1347, 6, 55
1348, 8, 57
1349, 6, 38
1350, 5, 35
1351, 7, 51
1352, 8, 36
1353, 5, 18
1354, 9, 96
1355, 10, 98
1356, 3, 12
1357, 5, 25
1358, 5, 14
1359, 6, 33
1360, 6, 37
1361, 4, 20
1362, 2, 3
1363, 8, 44
1364, 2, 1
1365, 4, 14
1366, 4, 19
1367, 4, 13
1368, 7, 48
1369, 6, 30
1370, 5, 19
1371, 8, 72
1372, 10, 104
1373, 4, 21
1374, 9, 72
1375, 9, 121
1376, 4, 10
1377, 6, 38
1378, 6, 23
1379, 12, 110
1380, 2, 4
1381, 6, 33
1382, 7, 56
1383, 8, 79
1384, 5, 13
1385, 12, 168
1386, 4, 15
1387, 5, 15
1388, 5, 21
1389, 2, 3
1390, 9, 54
1391, 6, 22
1392, 2, 3
1393, 6, 36
1394, 14, 180
1395, 4, 10
1396, 7, 60
1397, 7, 43
1398, 6, 29
1399, 3, 8
1400, 14, 225
1401, 7, 28
1402, 2, 4
1403, 7, 46
1404, 2, 3
1405, 5, 23
1406, 7, 58
1407, 5, 28
1408, 6, 40
1409, 4, 16
1410, 7, 41
1411, 5, 28
1412, 7, 29
1413, 6, 38
1414, 5, 27
1415, 5, 23
1416, 3, 11
1417, 6, 24
1418, 5, 23
1419, 4, 12
1420, 8, 77
1421, 5, 29
1422, 5, 22
1423, 8, 68
1424, 9, 104
1425, 6, 22
1426, 5, 31
1427, 3, 10
1428, 10, 99
1429, 4, 12
1430, 6, 32
1431, 8, 56
1432, 7, 60
1433, 2, 2
1434, 3, 9
1435, 5, 19
1436, 11, 96
1437, 6, 14
1438, 4, 5
1439, 4, 7
1440, 7, 57
1441, 12, 101
1442, 13, 180
1443, 5, 17
1444, 6, 42
1445, 2, 2
1446, 3, 10
1447, 11, 93
1448, 7, 58
1449, 6, 39
1450, 5, 20
1451, 7, 43
1452, 2, 3
1453, 2, 4
1454, 10, 144
1455, 4, 17
1456, 5, 18
1457, 4, 3
1458, 5, 14
1459, 7, 29
1460, 3, 9
1461, 3, 9
1462, 5, 27
1463, 6, 27
1464, 4, 14
1465, 6, 49
1466, 11, 91
1467, 7, 74
1468, 2, 3
1469, 7, 52
1470, 7, 49
1471, 3, 7
1472, 10, 99
1473, 9, 111
1474, 11, 142
1475, 9, 2
1476, 3, 10
1477, 5, 14
1478, 6, 27
1479, 6, 20
1480, 2, 3
1481, 7, 34
1482, 4, 9
1483, 7, 74
1484, 5, 23
1485, 2, 3
1486, 7, 2
1487, 4, 16
1488, 3, 4
1489, 3, 1
1490, 5, 24
1491, 7, 52
1492, 7, 42
1493, 4, 18
1494, 5, 39
1495, 7, 68
1496, 4, 12
1497, 7, 48
1498, 9, 60
1499, 4, 17
1500, 6, 36
1501, 7, 55
1502, 10, 109
1503, 6, 30
1504, 6, 31
1505, 6, 46
1506, 7, 32
1507, 4, 14
1508, 8, 72
1509, 4, 12
1510, 2, 4
1511, 10, 108
1512, 4, 14
1513, 5, 27
1514, 5, 22
1515, 10, 86
1516, 7, 57
1517, 5, 29
1518, 7, 69
1519, 6, 33
1520, 5, 21
1521, 6, 41
1522, 3, 9
1523, 7, 49
1524, 4, 11
1525, 8, 70
1526, 6, 26
1527, 4, 16
1528, 3, 9
1529, 9, 110
1530, 8, 50
1531, 8, 73
1532, 6, 37
1533, 6, 31
1534, 9, 68
1535, 4, 19
1536, 10, 116
1537, 5, 17
1538, 3, 4
1539, 3, 4
1540, 2, 4
1541, 4, 10
1542, 5, 26
1543, 6, 26
1544, 11, 2
1545, 6, 26
1546, 3, 2
1547, 6, 17
1548, 6, 41
1549, 7, 67
1550, 5, 35
1551, 2, 3
1552, 9, 60
1553, 4, 18
1554, 7, 57
1555, 5, 22
1556, 5, 20
1557, 10, 75
1558, 6, 24
1559, 4, 8
1560, 6, 20
1561, 13, 187
1562, 8, 80
1563, 2, 1
1564, 7, 2
1565, 6, 37
1566, 9, 64
1567, 7, 37
1568, 8, 55
1569, 2, 2
1570, 8, 62
1571, 7, 25
1572, 5, 24
1573, 6, 35
1574, 4, 14
1575, 7, 26
1576, 12, 179
1577, 11, 129
1578, 6, 18
1579, 3, 8
1580, 4, 14
1581, 6, 47
1582, 5, 26
1583, 11, 115
1584, 4, 16
1585, 8, 68
1586, 5, 22
1587, 7, 20
1588, 14, 225
1589, 4, 17
1590, 4, 8
1591, 6, 32
1592, 6, 29
1593, 8, 79
1594, 10, 92
1595, 7, 56
1596, 3, 8
1597, 6, 26
1598, 11, 88
1599, 3, 11
1600, 5, 21
1601, 3, 11
1602, 6, 46
1603, 9, 87
1604, 5, 16
1605, 2, 4
1606, 5, 21
1607, 5, 27
1608, 5, 33
1609, 12, 208
1610, 3, 9
1611, 5, 12
1612, 13, 114
1613, 6, 23
1614, 6, 27
1615, 7, 31
1616, 3, 8
1617, 5, 27
1618, 4, 14
1619, 10, 94
1620, 5, 21
1621, 9, 83
1622, 6, 42
1623, 9, 88
1624, 3, 6
1625, 8, 62
1626, 6, 26
1627, 4, 14
1628, 7, 21
1629, 2, 2
1630, 5, 22
1631, 6, 19
1632, 4, 10
1633, 9, 103
1634, 6, 38
1635, 3, 7
1636, 5, 25
1637, 8, 90
1638, 8, 102
1639, 6, 18
1640, 4, 17
1641, 3, 4
1642, 4, 14
1643, 3, 7
1644, 5, 16
1645, 4, 11
1646, 5, 22
1647, 6, 20
1648, 6, 38
1649, 6, 29
1650, 9, 99
1651, 3, 2
1652, 7, 33
1653, 4, 21
1654, 3, 6
1655, 5, 21
1656, 7, 51
1657, 9, 49
1658, 7, 49
1659, 12, 80
1660, 4, 13
1661, 5, 27
